"Index","year","month","qtr","days","totus_supt","totus_demt","totus_rmrevt","totus_demd","totus_supd","totus_occ","totus_adr","totus_revpar","totus_demd_sa","totus_demd_sf","totus_demd_fct","totus_occ_sa","totus_occ_sf","totus_occ_fct","totus_adr_sa","totus_adr_sf","totus_adr_fct","totus_revpar_sa","totus_revpar_sf","totus_revpar_fct","totus_supd_sa","totus_supd_sf","totus_supd_fct","totus_demar_sa","upsus_supt","upsus_demt","upsus_rmrevt","upsus_demd","upsus_supd","upsus_occ","upsus_adr","upsus_revpar","upsus_demd_sa","upsus_demd_sf","upsus_demd_fct","upsus_occ_sa","upsus_occ_sf","upsus_occ_fct","upsus_adr_sa","upsus_adr_sf","upsus_adr_fct","upsus_revpar_sa","upsus_revpar_sf","upsus_revpar_fct","upsus_supd_sa","upsus_supd_sf","upsus_supd_fct","upsus_demar_sa","upmus_supt","upmus_demt","upmus_rmrevt","upmus_demd","upmus_supd","upmus_occ","upmus_adr","upmus_revpar","upmus_demd_sa","upmus_demd_sf","upmus_demd_fct","upmus_occ_sa","upmus_occ_sf","upmus_occ_fct","upmus_adr_sa","upmus_adr_sf","upmus_adr_fct","upmus_revpar_sa","upmus_revpar_sf","upmus_revpar_fct","upmus_supd_sa","upmus_supd_sf","upmus_supd_fct","upmus_demar_sa"
1994-03-01,1994,3,1,31,107.143223,70.255276,4487.23455,2.266299226,3.456233,0.65571367,63.87042804,41.88071279,2.26533649952582,1.0004249816636,NA,0.648366073043131,1.01133248216148,NA,62.021642001511,1.02980872448433,NA,40.2298385916378,1.04103606318484,NA,3.48904693494805,0.990595158058962,NA,826.847822326924,6.069552,4.581451,357.912538,0.1477887419,0.195792,0.754825233,78.12209232,58.96852651,0.143494078259637,1.02992920469228,NA,0.734681064773901,1.02741892937216,NA,74.9015088355709,1.042997578213,NA,54.9728519172631,1.07268450614042,NA,0.195696703347604,1.00048696094909,NA,52.3753385647675,14.286815,9.897116,547.794241,0.3192618065,0.460865,0.692744744,55.34887547,38.34264257,0.312085376433974,1.02299508598585,NA,0.672253876124539,1.03048084749409,NA,54.9676523221691,1.00693540894919,NA,37.0530549858704,1.03480381265786,NA,0.463052565193307,0.995275773513113,NA,113.911162398401
1994-04-01,1994,4,2,30,104.4564,67.965453,4240.868049,2.2655151,3.48188,0.650658581,62.39740724,40.59940845,2.23692357993491,1.01278162576565,NA,0.63942015959937,1.01757595726677,NA,62.1277304677498,1.00434068281941,NA,39.7769009154877,1.02067801954355,NA,3.494334825237,0.996435709266596,NA,816.477106676242,5.87847,4.394337,338.150822,0.1464779,0.195949,0.747530735,76.95149962,57.52361108,0.141796771866577,1.03301293867133,NA,0.720170283196305,1.03799164231307,NA,75.1354972736316,1.02416969890749,NA,54.0936911600781,1.06340702300702,NA,0.196078756784478,0.999338241497417,NA,51.7558217313006,13.92849,9.543819,525.342572,0.3181273,0.464283,0.685201267,55.04532012,37.71712311,0.309349969916981,1.02837346350923,NA,0.663096202128117,1.03333613554254,NA,55.074433019679,0.999471389933899,NA,36.6520681652493,1.02905852242631,NA,0.466347749460644,0.995572511150677,NA,112.912739019698
1994-05-01,1994,5,2,31,109.156766,70.605383,4389.584733,2.277593,3.521186,0.64682553,62.17068085,40.21358358,2.22164638229884,1.02518250345641,NA,0.633786053655052,1.02057394016443,NA,62.2925728343098,0.998043234068466,NA,39.4129469212451,1.02031405214014,NA,3.49927645476203,1.00626116442105,NA,810.900929539077,6.165187,4.514181,342.075294,0.1456187419,0.198877,0.732205041,75.77793048,55.48498269,0.142968557708021,1.01853683239493,NA,0.717232525738557,1.02087539915458,NA,75.5773473516036,1.00265401122724,NA,54.2363948075551,1.02302121825898,NA,0.198889189786355,0.999938710664124,NA,52.1835235634277,14.469467,9.747835,540.257473,0.3144462903,0.466757,0.673683073,55.42332969,37.33775909,0.307978014038221,1.02100239616772,NA,0.660060030110562,1.02063909685178,NA,55.2766119024744,1.0026542471124,NA,36.5806498917845,1.02069698598727,NA,0.466109563811273,1.00138902146404,NA,112.411975123951
1994-06-01,1994,6,2,30,106.23642,75.9277,4763.620881,2.530923333,3.541214,0.714704995,62.73890663,44.83980994,2.2453995285718,1.12715946574096,NA,0.640559153340501,1.11575174794214,NA,63.2127728691669,0.992503631502645,NA,40.5182323107471,1.10665760529999,NA,3.50302913514668,1.01090052733795,NA,819.570827928707,6.03579,4.627759,353.000785,0.1542586333,0.201193,0.766719684,76.27899054,58.48460351,0.144464127452416,1.06779887865803,NA,0.719397168429186,1.06578079209589,NA,76.696427756035,0.994557279546801,NA,55.2335016180326,1.05886104984707,NA,0.200565625192667,1.00312802758065,NA,52.7294065201318,14.09715,10.632823,606.684556,0.3544274333,0.469905,0.754253377,57.05771233,43.03597224,0.310643178310121,1.14094709958887,NA,0.663444250186752,1.13687529402461,NA,55.827685575499,1.02203255860997,NA,37.1166514333756,1.15947884784945,NA,0.468095422441524,1.00386583049464,NA,113.384760083194
1994-07-01,1994,7,3,31,109.858575,81.768962,5188.484866,2.637708452,3.543825,0.744311147,63.45298679,47.2287654,2.27795406240301,1.15792872891277,NA,0.649266112758309,1.14638841050537,NA,63.4279821575003,1.00039422084148,NA,41.2438118716466,1.14511155144871,NA,3.5060549516302,1.01077280558659,NA,831.453232777099,6.276167,4.806487,366.303881,0.1550479677,0.202457,0.765831598,76.21031348,58.36426612,0.14557269660577,1.06508961718206,NA,0.719360769876393,1.0646001701366,NA,76.8687315633588,0.991434513488543,NA,55.3924806769999,1.05364961826369,NA,0.202255864265291,1.00099446181914,NA,53.134034261106,14.681755,11.193986,651.445368,0.3610963226,0.473605,0.762441956,58.19601418,44.37108288,0.315961356502409,1.14284964021303,NA,0.671293119652107,1.13578097805491,NA,55.7031223541084,1.04475317936478,NA,37.4850399327836,1.18370109674591,NA,0.470615610901329,1.00635208231394,NA,115.325895123379
1994-08-01,1994,8,3,31,109.931797,80.705585,5109.122424,2.603405968,3.546187,0.734142325,63.30568602,46.4753835,2.2566829632754,1.15364276257103,NA,0.642540351901942,1.14256221080421,NA,62.9434806459572,1.00575445415992,NA,40.4549969198534,1.14881688390865,NA,3.50933718036369,1.01050050700243,NA,823.689281595521,6.263426,4.820745,366.369312,0.1555079032,0.202046,0.769665835,75.99848405,58.49343666,0.144483856376854,1.07629950569974,NA,0.717264056895361,1.073057861468,NA,76.7066741241504,0.99076755598862,NA,55.0467013838692,1.06261474692361,NA,0.201704452637283,1.00169330601408,NA,52.7366075775517,14.750761,11.13418,645.964287,0.3591670968,0.475831,0.754820717,58.01633232,43.79192958,0.314533489875514,1.14190414808341,NA,0.665267316741873,1.13461265570164,NA,55.5712114096442,1.0439997770128,NA,37.1830520777406,1.17773897334844,NA,0.47277225761243,1.00646980092067,NA,114.804723804563
1994-09-01,1994,9,3,30,106.39587,73.218109,4587.821309,2.440603633,3.546529,0.688166834,62.65965308,43.12029507,2.29145602959552,1.06508857315093,NA,0.651740570209456,1.05589074158578,NA,63.1920402327126,0.99157509156609,NA,41.2242532922782,1.04599335649039,NA,3.5129083114531,1.00957061373828,NA,836.381450802365,6.06543,4.536217,341.422464,0.1512072333,0.202181,0.747880529,75.26590196,56.28990261,0.146413099706143,1.03274388428002,NA,0.725479931016307,1.03087693680556,NA,76.7239402233745,0.980996306249006,NA,55.7060491579129,1.01048097039573,NA,0.202255479934275,0.999631753195023,NA,53.4407813927422,14.28369,10.222331,574.535599,0.3407443667,0.476123,0.71566458,56.20397138,40.22319156,0.323608157258287,1.05295357690269,NA,0.68427565077045,1.04587176117433,NA,55.8935814357402,1.00555323055504,NA,38.433372719332,1.04656939305688,NA,0.473684658769001,1.00514760439432,NA,118.116977399275
1994-10-01,1994,10,4,31,109.575731,74.540868,4759.66509,2.404544129,3.534701,0.680268042,63.85309452,43.4372196,2.2727864838957,1.05797185351017,NA,0.64587555527593,1.05324940144139,NA,63.3428149351416,1.00805584004091,NA,40.9775136537667,1.06002574892699,NA,3.5170883336749,1.0050077406804,NA,829.567066621931,6.267146,4.854073,375.863137,0.156583,0.202166,0.774526874,77.43252666,59.97357282,0.147114463852001,1.06436169428945,NA,0.725054283722514,1.06823294667468,NA,76.9465381295169,1.00631592456655,NA,55.9854792692757,1.0712344272618,NA,0.202242315074796,0.999622655255071,NA,53.6967793059804,14.782443,10.437241,585.596209,0.3366851935,0.476853,0.70605657,56.10641826,39.61430523,0.318752608437991,1.05625863000741,NA,0.670139652666654,1.05359616788892,NA,56.0493307875781,1.00101852192738,NA,37.6392498498289,1.0524732928539,NA,0.47569086157102,1.00244305393032,NA,116.344702079867
1994-11-01,1994,11,4,30,104.95785,62.163875,3869.781093,2.072129167,3.498595,0.592274661,62.2512849,36.86985864,2.29494722587588,0.902909288560723,NA,0.651046612368667,0.909726968465683,NA,63.4609180059078,0.980938928337041,NA,41.3606229194446,0.891424162344194,NA,3.52216388190412,0.993308408497056,NA,837.655737444696,6.17403,4.306836,322.569174,0.1435612,0.205801,0.697572898,74.89701814,52.24613,0.149836106572106,0.958121532148286,NA,0.729262728382287,0.956545385978269,NA,77.0310349873548,0.972296661368952,NA,56.1494218470901,0.930483846161056,NA,0.205939473621236,0.999327600392481,NA,54.6901788988187,14.28453,8.768201,476.075086,0.2922733667,0.476151,0.613824956,54.29564012,33.32801891,0.323111162479143,0.904559794398519,NA,0.677134177821534,0.906504170229287,NA,56.2349983834994,0.965513322321559,NA,38.1448494769309,0.873722648457585,NA,0.477071846301949,0.998069795337773,NA,117.935574304887
1994-12-01,1994,12,4,31,108.262974,54.451127,3334.444283,1.756487968,3.492354,0.502952441,61.23737867,30.79948906,2.3072190802262,0.761300902482045,NA,0.654229482911893,0.768770674720164,NA,63.9507660955682,0.957570681459651,NA,41.9297661675086,0.734549506833801,NA,3.52599485935579,0.990459186499797,NA,842.134964282563,6.408754,3.698378,272.888272,0.1193025161,0.206734,0.577082222,73.78593318,42.58055029,0.151434466037456,0.787816137381115,NA,0.730289478283037,0.790210237393481,NA,77.3986648397816,0.953323075181464,NA,56.5366144078688,0.753149984942742,NA,0.207264226302391,0.997441785725155,NA,55.2735801036714,14.760712,7.586713,403.602542,0.2447326774,0.476152,0.513980152,53.19860419,27.34302668,0.324469985332057,0.754253670488334,NA,0.678729976288698,0.757267499529707,NA,56.5144255418417,0.941327876554514,NA,38.4342861291072,0.711422779862495,NA,0.47813844697817,0.995845456497539,NA,118.431544646201
1995-01-01,1995,1,1,31,108.111322,56.963846,3646.599883,1.837543419,3.487462,0.526899912,64.01604068,33.73004617,2.29490512223714,0.800705615754914,NA,0.649809433405478,0.810852974600042,NA,64.2161338837299,0.996884066485656,NA,41.7903557315673,0.807125126827318,NA,3.52926571434587,0.988155124116627,NA,837.640369616556,6.471002,4.088033,318.87342,0.1318720323,0.208742,0.631746521,78.00167464,49.27728658,0.151547598958,0.870169063757631,NA,0.727034725550968,0.868935827681744,NA,77.7613889795592,1.00309003817439,NA,56.6304330024617,0.870155567729067,NA,0.209327841232112,0.997201321961457,NA,55.31487361967,14.798997,8.009755,438.44148,0.2583791935,0.477387,0.541236342,54.73843832,29.62643212,0.32532545614684,0.794217570798938,NA,0.677042106817455,0.799413118549108,NA,56.6376813022746,0.966466794921593,NA,38.5501515065116,0.768516619577895,NA,0.48008510180944,0.994379950972711,NA,118.743791493597
1995-02-01,1995,2,1,28,97.780004,59.713715,3973.019315,2.132632679,3.492143,0.610694544,66.53445218,40.63222696,2.27732890381449,0.93646230697194,NA,0.643716470800587,0.948701131168016,NA,64.4093470785592,1.03299373767675,NA,41.5081288434513,0.978898063876722,NA,3.53441666249074,0.988039423042742,NA,831.225049892289,5.895904,4.239345,344.703163,0.1514051786,0.210568,0.71903223,81.31047674,58.4648534,0.151806811979934,0.997354312532518,NA,0.719273625642376,0.99966438969292,NA,78.4906354505452,1.03592583081114,NA,56.5262555696885,1.03429552887899,NA,0.210664555951429,0.999541660195315,NA,55.4094863726759,13.452544,8.483486,481.840224,0.3029816429,0.480448,0.630623174,56.79743256,35.81777722,0.322384892450886,0.93981340315492,NA,0.666551935229894,0.946097581702314,NA,56.9306128255942,0.997660656385306,NA,38.0781650986963,0.940638214240694,NA,0.483007301279417,0.994701319684739,NA,117.670485744573
