"Index","gdp","canada_gdp","mexico_gdp"
1987-01-01,1996.6,226959.8,1617.359
1987-02-01,2006.49019941553,227805.746653121,1641.95170620844
1987-03-01,2013.24937996116,228714.611925785,1655.02666929197
1987-04-01,2019.025,229845.8,1661.614
1987-05-01,2023.76442279843,231025.761369934,1662.57960302367
1987-06-01,2029.41492228278,232270.32223117,1661.83184203245
1987-07-01,2037.35,233434,1663.393
1987-08-01,2049.00433320847,234552.247419006,1670.00057493788
1987-09-01,2061.4802157688,235645.129504855,1678.33791649082
1987-10-01,2070.95,236759.5,1683.491
1987-11-01,2075.81315273513,238020.777115945,1682.51381246772
1987-12-01,2078.34047132641,239275.555878253,1677.62996152249
1988-01-01,2082.6,240501.5,1672.12
1988-02-01,2091.21399517525,241552.464624684,1668.95641966571
1988-03-01,2101.10146783406,242300.88134097,1667.66395271902
1988-04-01,2110.125,242772.8,1666.755
1988-05-01,2114.98987206098,242884.29867582,1665.59919738378
1988-06-01,2118.0832707273,242845.034387468,1665.61918449596
1988-07-01,2122.3,242906.8,1668.812
1988-08-01,2130.22636522532,243275.09207034,1676.84246544991
1988-09-01,2140.44382076523,243923.378585112,1688.63567186938
1988-10-01,2150.4,244735.8,1702.059
1988-11-01,2159.04577009984,245674.28094172,1716.16971826453
1988-12-01,2165.93761392111,246560.268664771,1727.50421974798
1989-01-01,2172.1,247322,1733.949
1989-02-01,2177.83590311434,247840.011161681,1733.73408740912
1989-03-01,2183.02623609786,248174.836684534,1732.01664327193
1989-04-01,2189.175,248526.2,1734.612
1989-05-01,2195.62519922034,248923.220439677,1745.40719015297
1989-06-01,2201.6701336463,249259.101230883,1759.19481122914
1989-07-01,2205.525,249331.5,1766.947
1989-08-01,2206.73369859303,249058.261209338,1763.69549602065
1989-09-01,2207.34926691097,248746.579367943,1755.39118996694
1989-10-01,2210.175,248800.8,1751.366
1989-11-01,2217.26764040883,249472.585123761,1758.01302600546
1989-12-01,2226.15874416127,250369.175322654,1772.13232546691
1990-01-01,2234.375,251036.2,1789.446
1990-02-01,2239.27936340106,251054.118044287,1805.1308893395
1990-03-01,2241.5122970684,250639.668681258,1817.18691510948
1990-04-01,2243.025,249975.5,1828.274
1990-05-01,2244.52151004567,249349.102920948,1837.00860196118
1990-06-01,2245.17738556203,248755.615279699,1845.07583660377
1990-07-01,2243.575,248219.2,1853.213
1990-08-01,2238.69459113089,247665.268523707,1862.64929659323
1990-09-01,2231.68697689988,246976.753887145,1871.3399137762
1990-10-01,2224.45,246032,1876.767
1990-11-01,2218.06794252462,244714.624339293,1878.0916395527
1990-12-01,2214.24526300233,243438.298230818,1878.35787566266
1991-01-01,2214.025,242557.8,1881.94
1991-02-01,2218.26480091541,242430.681384173,1891.60208800697
1991-03-01,2224.35137162725,242764.026124016,1902.21695283575
1991-04-01,2231.225,243276,1910.737
1991-05-01,2236.16087205566,243634.158987084,1912.3456495689
1991-06-01,2239.59536490586,243858.76612348,1911.47525143082
1991-07-01,2241.925,244005,1914.29
1991-08-01,2244.04086224429,244139.586599639,1925.08320878472
1991-09-01,2246.96561347807,244252.586957647,1939.03653546588
1991-10-01,2251.7,244322.5,1948.865
1991-11-01,2259.30424020901,244345.695782223,1950.62824386512
1991-12-01,2268.40925467611,244354.581698752,1948.42450527902
1992-01-01,2278.3,244395.8,1948.695
1992-02-01,2287.57765809015,244509.570667348,1956.36537996846
1992-03-01,2295.55898378442,244693.548714405,1967.92079491767
1992-04-01,2303.425,244979.2,1980.651
1992-05-01,2310.54944769774,245337.525819665,1989.92076640273
1992-06-01,2317.965953658,245736.802497035,1996.01773943362
1992-07-01,2325.825,246085.8,1999.042
1992-08-01,2334.86883094656,246368.910859589,1999.89971932612
1992-09-01,2343.33181390016,246650.840039766,1999.91909979021
1992-10-01,2349.125,247023.2,2000.707
1992-11-01,2351.49898205687,247582.264178798,2003.44872721878
1992-12-01,2352.08136963005,248239.04024291,2007.23763119601
1993-01-01,2353.5,248951.2,2011.103
1993-02-01,2357.59082131805,249636.622099942,2014.11083175034
1993-03-01,2362.53363024255,250269.63622106,2016.84822200575
1993-04-01,2367.475,251052.2,2021.156
1993-05-01,2370.53614020305,251918.308880241,2027.43897370049
1993-06-01,2373.65309495011,252789.69794618,2035.28087185209
1993-07-01,2379.025,253439.2,2042.949
1993-08-01,2388.60225814666,253814.873371373,2049.98497963571
1993-09-01,2400.25932909258,254124.073067607,2056.37094561955
1993-10-01,2410.775,254658.2,2062.455
1993-11-01,2418.93428981134,255668.461564702,2069.24078384443
1993-12-01,2425.80919360737,256951.236380965,2077.07766669705
1994-01-01,2434.4,258359.8,2087.365
1994-02-01,2446.09436981652,259672.928589622,2100.10867956126
1994-03-01,2457.40220038364,260810.748552258,2111.75303837033
1994-04-01,2467.675,262108,2121.976
1994-05-01,2473.37230345426,263446.456407789,2127.67064775093
1994-06-01,2477.19637462451,264774.068655461,2132.9645625621
1994-07-01,2482.225,265823,2142.434
1994-08-01,2491.13125449437,266549.535731073,2158.8166225797
1994-09-01,2501.68077636685,267101.562235381,2172.02041359983
1994-10-01,2510.4,267718.8,2169.613
1994-11-01,2515.56049532257,268605.587186937,2142.98310193975
1994-12-01,2517.77359929148,269509.551760968,2101.08659525252
1995-01-01,2518.975,270197.8,2052.586
1995-02-01,2520.67243386764,270429.736552762,2009.33751700792
1995-03-01,2523.25886324226,270374.616443044,1980.04112719439
