"Index","year","month","qtr","days","totus_supt","totus_demt","totus_rmrevt","totus_demd","totus_supd","totus_occ","totus_adr","totus_revpar","totus_demd_sa","totus_demd_sf","totus_demd_fct","totus_occ_sa","totus_occ_sf","totus_occ_fct","totus_adr_sa","totus_adr_sf","totus_adr_fct","totus_revpar_sa","totus_revpar_sf","totus_revpar_fct","totus_supd_sa","totus_supd_sf","totus_supd_fct","totus_demar_sa","upmus_supt","upmus_demt","upmus_rmrevt","upmus_demd","upmus_supd","upmus_occ","upmus_adr","upmus_revpar","upmus_demd_sa","upmus_demd_sf","upmus_demd_fct","upmus_occ_sa","upmus_occ_sf","upmus_occ_fct","upmus_adr_sa","upmus_adr_sf","upmus_adr_fct","upmus_revpar_sa","upmus_revpar_sf","upmus_revpar_fct","upmus_supd_sa","upmus_supd_sf","upmus_supd_fct","upmus_demar_sa"
2004-03-01,2004,3,1,31,136.208172,85.280932,7506.706828,2.75099780599999,4.393812,0.626107308999999,88.0232738100002,55.1120150699999,2.6928503322717,1.02159328093041,NA,0.608023615824581,1.0297417611829,NA,85.3712652826331,1.0310644163301,NA,51.9863776466044,1.06012416261512,NA,4.42607779424188,0.992710070689708,NA,982.89037127917,22.276042,14.46822,1077.828042,0.466716774200002,0.718582,0.649496890000003,74.4962436300004,48.38507855,0.45233425747174,1.03179621373064,NA,0.627438877322491,1.03515563583124,NA,74.1030427513306,1.00530613675324,NA,46.6852866954021,1.03640958372363,NA,0.72075204563067,0.996989192547111,NA,165.102003977185
2004-04-01,2004,4,2,30,132.60117,82.586767,7088.194908,2.752892233,4.420039,0.622820802,85.8272476999998,53.4549952199999,2.71680990802079,1.01328113714275,NA,0.613130172411766,1.01580517486216,NA,85.1303313705219,1.00818646325297,NA,52.2122993757402,1.02380082584214,NA,4.42865723294542,0.998053985103812,NA,991.635616427588,21.58506,13.92015,1038.720104,0.464005,0.719502,0.644897443000001,74.6198930299999,48.1221782100002,0.455105904330259,1.01955390071864,NA,0.630503057547973,1.02283000102808,NA,74.4700446023664,1.00201219736652,NA,47.1466111888767,1.02069219815641,NA,0.72171725670726,0.996930575392687,NA,166.113655080545
2004-05-01,2004,5,2,31,138.301416,85.709088,7366.967648,2.76480929000001,4.46133599999999,0.619726756999999,85.9531680900001,53.2674780999998,2.69429145086185,1.02617305530016,NA,0.607971788448553,1.01933472699686,NA,85.6663573183824,1.00334799775076,NA,52.167290043223,1.02108961488828,NA,4.42966716101545,1.00714925926337,NA,983.416379564575,22.409187,14.306625,1082.095802,0.461504032299999,0.722876999999997,0.638426775999999,75.6359939500001,48.2880437400002,0.449453064817688,1.02681251597917,NA,0.622353421151803,1.02582673172817,NA,74.8191691107591,1.01091732037323,NA,46.7383462431627,1.0331568748448,NA,0.722344969688906,1.00073653217426,NA,164.050368658456
2004-06-01,2004,6,2,30,133.90791,91.18971,7860.085365,3.03965699999999,4.463597,0.680988224999999,86.1948718199999,58.6976927999998,2.69784779913581,1.12669699194064,NA,0.609318201307797,1.11762331001827,NA,86.1318834469412,1.00073130147093,NA,52.5544232902898,1.11689348155867,NA,4.427635927069,1.00812195797562,NA,984.714446684571,21.73185,15.543981,1202.989373,0.5181327,0.724395,0.715262666999998,77.3926173099999,55.3560499,0.454082218034315,1.14105481215044,NA,0.629233468065604,1.13672063439166,NA,75.322445213141,1.02748413293011,NA,47.5563445720634,1.1640097740506,NA,0.721636399304315,1.00382270170732,NA,165.740009582525
2004-07-01,2004,7,3,31,138.429291,98.105038,8540.368834,3.164678645,4.46546100000002,0.708701440999998,87.0533155899999,61.6948102,2.73989659421491,1.15503579649027,NA,0.619361298452031,1.14424560070391,NA,86.9887557453656,1.00074216310006,NA,53.8047272933931,1.14664293090053,NA,4.42773057685096,1.00852139092345,NA,1000.06225688844,22.491585,16.442912,1307.131366,0.5304165161,0.725535000000003,0.731069509000002,79.4951262900003,58.1164629299999,0.459336661726451,1.15474457036891,NA,0.63778563324505,1.14626211518802,NA,75.7024182206428,1.05010022346054,NA,48.6049353699671,1.19569057108365,NA,0.722374218836516,1.00437554536287,NA,167.657881530155
2004-08-01,2004,8,3,31,138.500715,92.689678,7992.734358,2.989989613,4.46776500000001,0.669236096999998,86.23111581,57.70897542,2.70586875469726,1.10500171444366,NA,0.611785774143499,1.09390594761202,NA,86.6116710605343,0.99560618972161,NA,53.0587224665458,1.08764351528415,NA,4.42998982788741,1.00852714646765,NA,987.6420954645,22.501567,15.451374,1218.126771,0.4984314194,0.725856999999999,0.686679909999997,78.8361456400003,54.13519738,0.450336162068247,1.10679856823149,NA,0.62036946670964,1.10688863145064,NA,76.0639140645288,1.03644608103022,NA,47.8505458637088,1.13133918125389,NA,0.722209777939848,1.00505008679134,NA,164.37269915491
2004-09-01,2004,9,3,30,133.69155,84.947548,7262.104758,2.831584933,4.45638499999998,0.635399530000003,85.4892804900001,54.3198486199999,2.72452247970595,1.03929585976681,NA,0.614393291826749,1.03419021407411,NA,86.3921405793735,0.989549279791905,NA,53.2617101681795,1.01986677574714,NA,4.42345889684475,1.00744351963544,NA,994.450705092672,21.71595,14.264728,1092.381547,0.475490933300001,0.723865000000002,0.656877916999998,76.57920621,50.3031894500002,0.46042486335207,1.03272210331615,NA,0.637540112826326,1.03033190192213,NA,76.3888081298886,1.0024924865929,NA,48.724888695666,1.03239208537124,NA,0.721648406746241,1.00307156952477,NA,168.055075123506
2004-10-01,2004,10,4,31,137.589253,90.130248,7991.589618,2.90742735500001,4.43836300000001,0.655067499999998,88.6671211399999,58.08294939,2.76003439892392,1.05340257937856,NA,0.623989591523569,1.04980517126984,NA,87.1625184341811,1.01726203800496,NA,54.3529056254097,1.06862639120523,NA,4.4222335805894,1.00364734678001,NA,1007.41255560723,22.345544,15.163618,1171.741966,0.489148967699999,0.720823999999999,0.678596949999999,77.2732448200001,52.4373882299999,0.46270561041676,1.05714942003712,NA,0.642682188485861,1.05588261532306,NA,76.7674345272527,1.00658886539406,NA,49.2501901597468,1.06471443175986,NA,0.719870231458437,1.00132491732521,NA,168.887547802117
2004-11-01,2004,11,4,30,131.81556,74.348202,6314.529917,2.4782734,4.393852,0.564032061,84.93184431,47.9042832,2.70804820742847,0.915151138447916,NA,0.611200220182162,0.922826992490114,NA,87.093603435747,0.975178899018206,NA,53.244098651794,0.899710661143588,NA,4.42256499754725,0.993507614345255,NA,988.437595711392,21.53421,12.525143,927.099212,0.4175047667,0.717807000000001,0.581639308,74.01905208,43.05239022,0.458359323914122,0.910867838652768,NA,0.637331489253006,0.912616617581094,NA,76.6730142915088,0.965385967461531,NA,48.8671578913403,0.881008678993162,NA,0.719745979199747,0.997306022880597,NA,167.301153228655
2004-12-01,2004,12,4,31,136.064456,66.300381,5583.045184,2.138721968,4.38917600000001,0.487271863,84.2083423900001,41.0323559,2.74548292897103,0.778996636778057,NA,0.619522674761873,0.786527891311312,NA,87.743792131215,0.959707123941852,NA,54.4588107147281,0.753456701706911,NA,4.42374519645218,0.992185536255592,NA,1002.10126907443,22.204277,10.978356,799.174602,0.3541405161,0.716267,0.494425286,72.79547156,35.99192183,0.460898420441142,0.768369993025882,NA,0.641832736734423,0.770333542841058,NA,77.4574661511317,0.93981219858089,NA,49.7750487481284,0.723091644010762,NA,0.717670451458034,0.998044434663316,NA,168.227923461017
2005-01-01,2005,1,1,31,135.850959,70.010875,6114.591373,2.258415323,4.382289,0.515350613,87.33773679,45.00955619,2.75688685619976,0.819190427754122,NA,0.621915420449112,0.828650642924794,NA,87.9984556130638,0.992491699786539,NA,54.7923613566148,0.821456770170141,NA,4.42635701592472,0.990044179498812,NA,1006.26370251291,22.131427,11.542265,866.303817,0.372331129,0.713917,0.521532796,75.05492354,39.14360412,0.460207847046988,0.809049935565276,NA,0.642590660149168,0.811609673690144,NA,78.0526807404246,0.9615931551359,NA,50.23019793698,0.779284289683878,NA,0.716194881764897,0.996819466568535,NA,167.975864172151
2005-02-01,2005,2,1,28,122.745112,73.04169,6631.633111,2.608631786,4.383754,0.595068014,90.7924379999995,54.02767575,2.75655205786523,0.94633866193705,NA,0.622040222357722,0.956639124950008,NA,88.6542699433061,1.02411804933999,NA,55.1450258394183,0.979737971423352,NA,4.42674405281924,0.990288561455939,NA,1006.14150112081,19.973856,12.116305,948.982884,0.4327251786,0.713351999999999,0.606608208,78.32279593,47.51125091,0.459428430702094,0.941877231974332,NA,0.641129022685893,0.946156212767791,NA,78.7335715782646,0.994782712888158,NA,50.6273584887875,0.938450125153623,NA,0.716453766371133,0.995670667785244,NA,167.691377206264
2005-03-01,2005,3,1,31,136.25306,87.102917,8006.183724,2.80977151600001,4.39526,0.639273106999998,91.9163674399999,58.7596617899998,2.77638237502553,1.01202613201799,NA,0.626551652041906,1.02030392054132,NA,89.3958802925992,1.02819466779846,NA,56.1174610375895,1.04708339799337,NA,4.42755715300475,0.992705423806256,NA,1013.37956688432,22.142742,14.622353,1162.193363,0.471688806500001,0.714281999999999,0.660367763,79.4805981599998,52.48642481,0.463708622088342,1.01720948033211,NA,0.646706455609814,1.02112443330615,NA,79.0792197416567,1.00507564970487,NA,51.3386829990745,1.02235627686332,NA,0.716895278727885,0.99635472738428,NA,169.253647062245
2005-04-01,2005,4,2,30,132.62913,85.618038,7800.14266,2.85393459999999,4.420971,0.645544746000001,91.1039641000002,58.8116853399998,2.78719040995843,1.02394676366677,NA,0.62917860536106,1.02601191537584,NA,89.9965676369523,1.01230487442049,NA,56.7758480685187,1.03585745243337,NA,4.42879087637896,0.998234308957628,NA,1017.32449963483,21.44934,14.45378,1151.017757,0.481792666699999,0.714978,0.673856630999997,79.63437641,53.66215263,0.465713490989959,1.03452589633137,NA,0.649711740513032,1.03716246603132,NA,79.5028909735125,1.00165384472033,NA,51.87775611332,1.0343961776755,NA,0.716619451142624,0.99770945215064,NA,169.985424211335
2005-05-01,2005,5,2,31,138.288458,87.285288,7922.60879,2.815654452,4.460918,0.631182741,90.7668287700003,57.2904557899999,2.74548471603485,1.02555823223321,NA,0.619472541252624,1.01890350091014,NA,90.438402903885,1.00363148679731,NA,56.1693574582219,1.01995925149423,NA,4.4294811758138,1.00709717976856,NA,1002.10192135272,22.265471,14.605323,1175.877443,0.4711394516,0.718241,0.655962902999998,80.5101977500003,52.81170306,0.459432377091978,1.02548160532813,NA,0.640148445609438,1.02470435958882,NA,79.7642167389753,1.0093523266638,NA,51.2155656466386,1.03116508415379,NA,0.717727966405715,1.00071480229042,NA,167.692817638572
2005-06-01,2005,6,2,30,134.0094,93.861045,8509.865355,3.1287015,4.46698,0.700406427000001,90.6645068200001,63.5020032499999,2.77785902460314,1.126299597024,NA,0.626636666695184,1.11772333830044,NA,90.6153341471284,1.0005426528891,NA,56.872496309163,1.1165678908272,NA,4.43153242624383,1.0079989426561,NA,1013.91854398015,21.56736,15.886302,1308.25185,0.529543399999999,0.718912000000001,0.736590013999998,82.3509366699997,60.65887758,0.464371525926516,1.14034425117572,NA,0.648136218277535,1.13647408249694,NA,80.2158433497827,1.02661685311849,NA,52.1297059334272,1.16361442087291,NA,0.716293520051182,1.00365559631006,NA,169.495606963178
2005-07-01,2005,7,3,31,138.549819,99.905267,9135.744835,3.222750548,4.46934899999999,0.721078292999998,91.4440760700002,65.9383382900002,2.78983749305856,1.15517500787002,NA,0.629665747809419,1.145176302679,NA,91.3733316545752,1.0007742348248,NA,57.4527839668803,1.1476961382413,NA,4.43291870792745,1.00821812771062,NA,1018.29068496637,22.275856,16.567994,1403.527602,0.534451419399997,0.718575999999999,0.743764638999998,84.7131886900002,63.0066742199998,0.462523504806117,1.15551191203576,NA,0.648023830233866,1.14774272842957,NA,80.8668775660219,1.04756349249219,NA,52.7090748939512,1.1953667247389,NA,0.71561602183431,1.00413626592387,NA,168.821079254233
2005-08-01,2005,8,3,31,138.625118,94.766262,8634.354958,3.056976194,4.47177800000001,0.683615375000001,91.11211918,62.2856455099998,2.77243705396889,1.1026314157877,NA,0.625432389112939,1.0930284182589,NA,91.6539789570386,0.994087984142046,NA,57.3373394510299,1.08630163356631,NA,4.43485426499167,1.00832580572034,NA,1011.93952469864,22.2766,15.850641,1331.527913,0.511311000000001,0.718599999999998,0.711537711999999,84.0046729300003,59.7724928,0.462961707469308,1.10443475507939,NA,0.644994894458299,1.10316797561256,NA,81.1812047599756,1.03477982592612,NA,52.8621522531018,1.13072378350794,NA,0.715158548999596,1.00481215110302,NA,168.981023226297
2005-09-01,2005,9,3,30,132.91638,87.696339,8038.236845,2.9232113,4.43054600000002,0.659785791999997,91.6598906699999,60.4758935299999,2.81350157789572,1.03899401477725,NA,0.63839996864858,1.03349909837353,NA,92.4964549944422,0.990955714740716,NA,59.1166754582773,1.02299212635328,NA,4.39831430673924,1.00732819235119,NA,1026.92807593194,21.40071,14.586047,1195.399946,0.486201566699999,0.713356999999999,0.681568368999996,81.9550318199998,55.8579573299999,0.470743888301567,1.03283670544126,NA,0.661312369755597,1.03063000205468,NA,81.6539452128381,1.00368734917066,NA,54.0014762964769,1.03437833853524,NA,0.711271075344383,1.0029326718433,NA,171.821519230072
2005-10-01,2005,10,4,31,137.263164,90.535151,8375.157933,2.92048874199999,4.427844,0.659573540000001,92.5072509499998,61.0153349900001,2.76733803676144,1.05534224702732,NA,0.627288490167762,1.0514676266794,NA,90.828231173514,1.01848565974249,NA,56.9217005002689,1.07191693947569,NA,4.41178139377287,1.00364084363967,NA,1010.07838341793,22.12749,15.346787,1264.386593,0.495057645200002,0.713790000000003,0.693562035000002,82.3877071499996,57.1409858500001,0.467864406747346,1.05812205002237,NA,0.656218921270678,1.0569064873305,NA,81.7616685042411,1.00765687218976,NA,53.5109878897171,1.06783649682873,NA,0.712713911103424,1.00150984691026,NA,170.770508462781
